origin,horizon,window_length,ridge,validation_raw_rmse,validation_w2,n_validation_targets,validation_target_start,validation_target_stop
0,3,24,1e-06,0.556608051601182,33.16000187683855,54,127,181
0,3,24,0.0001,0.5542976712603239,32.81866605231459,54,127,181
0,3,24,0.001,0.5338488457665567,30.087278834506808,54,127,181
0,3,24,0.01,0.4216578882122544,19.762897887566687,54,127,181
0,3,24,0.1,0.3432823745813407,14.462322646663843,54,127,181
0,3,24,1.0,0.34613917401661565,14.366688663340286,54,127,181
0,3,24,10.0,0.34614738494026087,14.289140526363802,54,127,181
0,3,48,1e-06,0.6696157292859272,37.340985783526435,54,127,181
0,3,48,0.0001,0.6617491531694564,36.209461268270935,54,127,181
0,3,48,0.001,0.5879272730113245,28.90127077153917,54,127,181
0,3,48,0.01,0.3762125553444675,15.51438750814826,54,127,181
0,3,48,0.1,0.33500402457869394,13.615138248534903,54,127,181
0,3,48,1.0,0.3790468328608405,15.507550307781901,54,127,181
0,3,48,10.0,0.4100276143151296,16.796890769923035,54,127,181
0,3,72,1e-06,0.8072842696956068,51.71000535826275,54,127,181
0,3,72,0.0001,0.7885294152348323,48.940585867846316,54,127,181
0,3,72,0.001,0.607279527189864,30.9915984251131,54,127,181
0,3,72,0.01,0.38752841193445314,16.825649664442118,54,127,181
0,3,72,0.1,0.35486253845334587,14.859256871896857,54,127,181
0,3,72,1.0,0.4117764953236898,17.24340146813222,54,127,181
0,3,72,10.0,0.49620843320043223,21.663634601292966,54,127,181
0,4,24,1e-06,0.5566060359157272,33.16074517443001,54,127,181
0,4,24,0.0001,0.5540855383922724,32.88571923268486,54,127,181
0,4,24,0.001,0.5301503907862203,30.1892165702461,54,127,181
0,4,24,0.01,0.4003371849816291,17.74717901110899,54,127,181
0,4,24,0.1,0.3263928212981331,12.894540128612746,54,127,181
0,4,24,1.0,0.3434051321613593,13.975357108423147,54,127,181
0,4,24,10.0,0.3451814042392922,14.083920143733517,54,127,181
0,4,48,1e-06,0.6694086838215376,37.32583150537211,54,127,181
0,4,48,0.0001,0.6439753032204565,34.881581268945055,54,127,181
0,4,48,0.001,0.5439576041176214,25.6739161509121,54,127,181
0,4,48,0.01,0.3689827659609336,14.720452842425528,54,127,181
0,4,48,0.1,0.3328341454828226,13.12454901277233,54,127,181
0,4,48,1.0,0.39283587810113973,16.030226960182777,54,127,181
0,4,48,10.0,0.41810411920011625,17.144327100063204,54,127,181
0,4,72,1e-06,0.8067429893479469,51.66262919260726,54,127,181
0,4,72,0.0001,0.7531974750507907,45.93808826857688,54,127,181
0,4,72,0.001,0.5752654150833783,28.742779958576147,54,127,181
0,4,72,0.01,0.3749668453497773,15.670539536748505,54,127,181
0,4,72,0.1,0.35429908322849935,14.594349575962577,54,127,181
0,4,72,1.0,0.4351875198890422,18.32100532729852,54,127,181
0,4,72,10.0,0.5075362590518979,22.32438234577361,54,127,181
0,5,24,1e-06,0.5566005663202002,33.159286921536626,54,127,181
0,5,24,0.0001,0.5535517876537954,32.75332607946451,54,127,181
0,5,24,0.001,0.5271432883923797,29.682256142215913,54,127,181
0,5,24,0.01,0.40145322862052324,18.015837979459846,54,127,181
0,5,24,0.1,0.3323986057557191,13.1855243953338,54,127,181
0,5,24,1.0,0.3422589330811656,13.705766473639184,54,127,181
0,5,24,10.0,0.34309151212393013,13.756810593067941,54,127,181
0,5,48,1e-06,0.6695888759887008,37.338555487413636,54,127,181
0,5,48,0.0001,0.6559886607836879,35.72619097223747,54,127,181
0,5,48,0.001,0.5495688981532494,26.070649881250983,54,127,181
0,5,48,0.01,0.38004982946058685,15.29223183459147,54,127,181
0,5,48,0.1,0.35473131844945677,14.179498856361738,54,127,181
0,5,48,1.0,0.4085677411806496,16.69127638820182,54,127,181
0,5,48,10.0,0.42689238911812744,17.565000016938743,54,127,181
0,5,72,1e-06,0.807227161587196,51.704212532462606,54,127,181
0,5,72,0.0001,0.7730295299756953,47.49573818571886,54,127,181
0,5,72,0.001,0.5828132183275679,29.17806236392424,54,127,181
0,5,72,0.01,0.3898804141947726,16.443498191737845,54,127,181
0,5,72,0.1,0.37518471563393985,15.590247455528708,54,127,181
0,5,72,1.0,0.4601337614862833,19.49938896159462,54,127,181
0,5,72,10.0,0.5157267491904582,22.77875171392458,54,127,181
1,3,24,1e-06,0.5689238028692193,34.8887412631245,54,170,224
1,3,24,0.0001,0.5657734604733775,34.47349160736442,54,170,224
1,3,24,0.001,0.538913664062453,31.24482777579903,54,170,224
1,3,24,0.01,0.4206597011123588,20.66850155758275,54,170,224
1,3,24,0.1,0.3518879957661933,16.0801835952252,54,170,224
1,3,24,1.0,0.3678231352959091,16.509715449701588,54,170,224
1,3,24,10.0,0.37031235702185555,16.517334487190013,54,170,224
1,3,48,1e-06,0.47333893197859617,24.51395744823069,54,170,224
1,3,48,0.0001,0.4650271250054682,23.469830441781298,54,170,224
1,3,48,0.001,0.41165729055158584,18.723277422866744,54,170,224
1,3,48,0.01,0.33215863817786195,14.65524337243756,54,170,224
1,3,48,0.1,0.3349594925454761,14.715698872569165,54,170,224
1,3,48,1.0,0.3620595986118321,15.813262241432199,54,170,224
1,3,48,10.0,0.36496327630994946,15.827157794208453,54,170,224
1,3,72,1e-06,0.7081577967723184,43.65274754483103,54,170,224
1,3,72,0.0001,0.6758840525020816,39.647926736585745,54,170,224
1,3,72,0.001,0.49218035240994584,24.109488538103204,54,170,224
1,3,72,0.01,0.35611941080770904,16.071425010898544,54,170,224
1,3,72,0.1,0.3578198832007765,15.704428578110777,54,170,224
1,3,72,1.0,0.39023455321775924,17.07722655581653,54,170,224
1,3,72,10.0,0.40566582971763754,17.688548065617415,54,170,224
1,4,24,1e-06,0.5689356327387209,34.890419491393736,54,170,224
1,4,24,0.0001,0.5668686473865682,34.6267563547047,54,170,224
1,4,24,0.001,0.5427948189833435,31.812503571698745,54,170,224
1,4,24,0.01,0.39842610360394687,18.768443333029044,54,170,224
1,4,24,0.1,0.3400770489832809,14.87002979625589,54,170,224
1,4,24,1.0,0.363654239095624,16.065425055756982,54,170,224
1,4,24,10.0,0.365520185120944,16.172959325621534,54,170,224
1,4,48,1e-06,0.4732459578036058,24.508923857113846,54,170,224
1,4,48,0.0001,0.45682511284778354,23.02107719795354,54,170,224
1,4,48,0.001,0.3907209407801282,17.563378997340614,54,170,224
1,4,48,0.01,0.3266623487175881,14.054785602755,54,170,224
1,4,48,0.1,0.3404122595891792,14.614350932273744,54,170,224
1,4,48,1.0,0.3642259612414698,15.813284717280146,54,170,224
1,4,48,10.0,0.3663098407560287,15.86824805122751,54,170,224
1,4,72,1e-06,0.7078216538280206,43.634360814963934,54,170,224
1,4,72,0.0001,0.6563109584088792,38.56144821073061,54,170,224
1,4,72,0.001,0.4706530243339382,22.481988601505876,54,170,224
1,4,72,0.01,0.3501043077434623,15.344892144605486,54,170,224
1,4,72,0.1,0.3636611207911841,15.629935703351029,54,170,224
1,4,72,1.0,0.3962165123639783,17.260135707638128,54,170,224
1,4,72,10.0,0.4090342470220473,17.83339870439107,54,170,224
1,5,24,1e-06,0.5689250328675116,34.88889953597951,54,170,224
1,5,24,0.0001,0.5659299779499476,34.49466734890486,54,170,224
1,5,24,0.001,0.5410016713903053,31.52989447239788,54,170,224
1,5,24,0.01,0.41220334452570817,19.71702781877496,54,170,224
1,5,24,0.1,0.3504811803387548,15.253597475445297,54,170,224
1,5,24,1.0,0.35718654865468175,15.61563838304551,54,170,224
1,5,24,10.0,0.3575487548922576,15.65487294301723,54,170,224
1,5,48,1e-06,0.4733100440883373,24.511648329368754,54,170,224
1,5,48,0.0001,0.4606204741012834,23.169080072271907,54,170,224
1,5,48,0.001,0.3917847967707396,17.514295037729138,54,170,224
1,5,48,0.01,0.345801591801393,14.919080186777672,54,170,224
1,5,48,0.1,0.35685952712715724,15.441359770998847,54,170,224
1,5,48,1.0,0.36690616109873747,15.912886357914488,54,170,224
1,5,48,10.0,0.36892816784998916,15.980721104762997,54,170,224
1,5,72,1e-06,0.7081941677638129,43.6544819129686,54,170,224
1,5,72,0.0001,0.6692175680698215,39.191058579816065,54,170,224
1,5,72,0.001,0.482857320808221,23.18223548271356,54,170,224
1,5,72,0.01,0.36408553300714347,15.970597490854898,54,170,224
1,5,72,0.1,0.37206286624560875,16.092431862847135,54,170,224
1,5,72,1.0,0.3988691749760199,17.306676882990867,54,170,224
1,5,72,10.0,0.41091702318271295,17.86692738721127,54,170,224
2,3,24,1e-06,0.6023510918242437,41.592217861780235,54,213,267
2,3,24,0.0001,0.5995685809099823,41.13588641960129,54,213,267
2,3,24,0.001,0.5734891316058733,37.344760511715585,54,213,267
2,3,24,0.01,0.46054636970861557,24.95767025239616,54,213,267
2,3,24,0.1,0.40013623254514097,20.276668037313677,54,213,267
2,3,24,1.0,0.409022813226166,20.505604345382206,54,213,267
2,3,24,10.0,0.4041228043415813,19.966273292390557,54,213,267
2,3,48,1e-06,0.45944176790118096,26.98116437511828,54,213,267
2,3,48,0.0001,0.4500814530138547,25.743405015532517,54,213,267
2,3,48,0.001,0.4077759704437277,21.073960612721045,54,213,267
2,3,48,0.01,0.3656646189600322,18.221732437896733,54,213,267
2,3,48,0.1,0.37287410550918126,18.307331517647523,54,213,267
2,3,48,1.0,0.3965158276878177,19.27671225200707,54,213,267
2,3,48,10.0,0.39273482972168533,18.798468102368524,54,213,267
2,3,72,1e-06,0.5577012954228655,36.48066542259767,54,213,267
2,3,72,0.0001,0.5359107706349168,33.26260334749384,54,213,267
2,3,72,0.001,0.4335996096966615,23.00599229407873,54,213,267
2,3,72,0.01,0.37644585662241875,18.94883601433819,54,213,267
2,3,72,0.1,0.3844484100853497,18.87588435537077,54,213,267
2,3,72,1.0,0.4066338921992226,20.006710684891328,54,213,267
2,3,72,10.0,0.40345512307892006,19.57769524384705,54,213,267
