origin,fit_end,val_end,test_end,horizon,source_index,target_index,method,window_length,ridge,raw_rmse,w2,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
0,127,181,224,3,178,181,cholesky_gaussian_ar,181.0,0.1,0.1552652276295809,8.181785860365608,0.10597704299656212,,,
0,127,181,224,3,178,181,euclidean_gaussian_ar,181.0,1.0,0.2187005446282735,7.886485698528588,0.18057234860318738,,,
0,127,181,224,3,178,181,fixed_bwar,181.0,0.1,0.152641193770156,6.948494016682662,0.09751250909618625,,,
0,127,181,224,3,178,181,local_bwar,48.0,0.1,0.19516260903055507,8.554965278542923,0.10515401073679805,6.646974118442254e-11,1.0,0.0
0,127,181,224,3,178,181,log_euclidean_gaussian_ar,181.0,0.1,0.14581184212715198,7.489127976481299,0.08833056144123792,,,
0,127,181,224,3,178,181,persistence,,,0.15559363219926212,11.886337637353648,0.04253534473373748,,,
0,127,181,224,3,178,181,raw_var_window_ar,72.0,10.0,0.5871146668923554,86.1565450097291,9.999999983064013e-09,,,
0,127,181,224,3,179,182,cholesky_gaussian_ar,181.0,0.1,0.31332681760024933,11.93835744751765,0.11384855902892999,,,
0,127,181,224,3,179,182,euclidean_gaussian_ar,181.0,1.0,0.31203347384978514,11.35537177223295,0.1860787136538623,,,
0,127,181,224,3,179,182,fixed_bwar,181.0,0.1,0.32829829296556173,11.944111416194628,0.10465333200086023,,,
0,127,181,224,3,179,182,local_bwar,48.0,0.1,0.2915053749054145,10.241060404499784,0.10524972696873951,7.431375595062332e-11,1.0,0.0
0,127,181,224,3,179,182,log_euclidean_gaussian_ar,181.0,0.1,0.30406943121665436,10.70757939274283,0.09642110114632436,,,
0,127,181,224,3,179,182,persistence,,,0.5158154813891338,33.466793269153605,0.031071602170496242,,,
0,127,181,224,3,179,182,raw_var_window_ar,72.0,10.0,0.735547735834514,91.23714465437183,9.999999994067244e-09,,,
0,127,181,224,3,180,183,cholesky_gaussian_ar,181.0,0.1,0.4689660515908695,19.005483381515727,0.13061036888750893,,,
0,127,181,224,3,180,183,euclidean_gaussian_ar,181.0,1.0,0.4829563183433403,20.068732475621204,0.20159380391786322,,,
0,127,181,224,3,180,183,fixed_bwar,181.0,0.1,0.49469218927297615,20.46298432998426,0.11685269179734066,,,
0,127,181,224,3,180,183,local_bwar,48.0,0.1,0.4577823522234423,17.880761187419285,0.09140205625413995,7.493237051940271e-11,1.0,0.0
0,127,181,224,3,180,183,log_euclidean_gaussian_ar,181.0,0.1,0.47137109472127287,17.9096578911125,0.0987970336000552,,,
0,127,181,224,3,180,183,persistence,,,0.618739007405732,32.492747570726515,0.035558803873924905,,,
0,127,181,224,3,180,183,raw_var_window_ar,72.0,10.0,0.8583752140756757,97.1984687150574,9.999999947788643e-09,,,
0,127,181,224,3,181,184,cholesky_gaussian_ar,181.0,0.1,0.5977568813099396,27.75400878635659,0.15618549129751075,,,
0,127,181,224,3,181,184,euclidean_gaussian_ar,181.0,1.0,0.6185472267096351,29.82435623146972,0.20750801291024482,,,
0,127,181,224,3,181,184,fixed_bwar,181.0,0.1,0.6024791376513209,28.871276438969264,0.12424209685145764,,,
0,127,181,224,3,181,184,local_bwar,48.0,0.1,0.5749470688983623,25.418583386416444,0.09197800346015798,6.383840960710602e-11,1.0,0.0
0,127,181,224,3,181,184,log_euclidean_gaussian_ar,181.0,0.1,0.6088143549656535,27.921572057743262,0.10789910491874422,,,
0,127,181,224,3,181,184,persistence,,,0.50981870020101,32.57470689532012,0.037531691814572235,,,
0,127,181,224,3,181,184,raw_var_window_ar,72.0,10.0,0.9876448391288613,106.17503080901665,9.999999974904474e-09,,,
0,127,181,224,3,182,185,cholesky_gaussian_ar,181.0,0.1,0.7865531135247681,43.498573621324866,0.14429891654294916,,,
0,127,181,224,3,182,185,euclidean_gaussian_ar,181.0,1.0,0.8067510490734316,45.48821045300486,0.17959319475789023,,,
0,127,181,224,3,182,185,fixed_bwar,181.0,0.1,0.779881592319808,43.73550328067218,0.1174417304602455,,,
0,127,181,224,3,182,185,local_bwar,48.0,0.1,0.7588259767735047,39.99647502214148,0.08870850703986362,6.161668012922845e-11,1.0,0.0
0,127,181,224,3,182,185,log_euclidean_gaussian_ar,181.0,0.1,0.7935571019035643,42.23398635614244,0.10380185997779132,,,
0,127,181,224,3,182,185,persistence,,,0.6816791323040724,44.77456731053782,0.04072622436026174,,,
0,127,181,224,3,182,185,raw_var_window_ar,72.0,10.0,1.1638874642404187,134.23624759854565,9.999999988877452e-09,,,
0,127,181,224,3,183,186,cholesky_gaussian_ar,181.0,0.1,0.7202046692366645,48.26055683376664,0.005034352066054961,,,
0,127,181,224,3,183,186,euclidean_gaussian_ar,181.0,1.0,0.7041589526496992,38.46147591347837,0.14130533220162833,,,
0,127,181,224,3,183,186,fixed_bwar,181.0,0.1,0.6825885831130236,36.50087751418366,0.09514185618050702,,,
0,127,181,224,3,183,186,local_bwar,48.0,0.1,0.624311584195832,32.31175949856228,0.07333387179168945,5.6011798672765696e-11,1.0,0.0
0,127,181,224,3,183,186,log_euclidean_gaussian_ar,181.0,0.1,0.656314767337934,68.08719502293418,0.014528964601799072,,,
0,127,181,224,3,183,186,persistence,,,0.3896297731615597,24.540266219648814,9.999999999038756e-06,,,
