regime,movement_control,horizon,n_replications,average_step_movement,local_minus_fixed_percent,percent_se,local_win_rate,ci_low,ci_high
persistent,0.0,1,60,0.22090126523124637,1.034182920458901,0.0053552791154662166,0.0,1.0236865733925873,1.0446792675252148
persistent,0.0,3,60,0.22090126523124637,1.0086941619963834,0.003036122576430296,0.0,1.00274336174658,1.0146449622461868
persistent,0.0,6,60,0.22090126523124637,0.8698648041685463,0.002736521625748346,0.0,0.8645012217820796,0.875228386555013
persistent,0.75,1,60,0.23180922979474697,-3.651454211023498,0.016506266777645412,1.0,-3.683806493907683,-3.619101928139313
persistent,0.75,3,60,0.23180922979474697,-2.7776219831768514,0.006901098411723736,1.0,-2.7911481360638297,-2.764095830289873
persistent,0.75,6,60,0.23180922979474697,-4.5061214513031285,0.004755961717583184,1.0,-4.5154431362695915,-4.4967997663366654
persistent,1.5,1,60,0.25089439971658717,-17.604868140734496,0.03122759611401526,1.0,-17.666074229117967,-17.543662052351024
persistent,1.5,3,60,0.25089439971658717,-13.497120245103389,0.012173383601756965,1.0,-13.520980076962832,-13.473260413243946
persistent,1.5,6,60,0.25089439971658717,-14.707854868420782,0.009225091210488416,1.0,-14.72593604719334,-14.689773689648224
persistent,2.0,1,60,0.2625691517808001,-22.13745352640821,0.035435158753270204,1.0,-22.20690643756462,-22.068000615251798
persistent,2.0,3,60,0.2625691517808001,-17.71686166574025,0.014258093644085531,1.0,-17.744807529282657,-17.688915802197844
persistent,2.0,6,60,0.2625691517808001,-18.417400502825064,0.012910917761327944,1.0,-18.442705901637268,-18.39209510401286
mean_reverting,0.7,1,60,0.07752268146701545,6.785119398657783,0.0036099803076052274,0.0,6.778043837254877,6.792194960060689
mean_reverting,0.7,3,60,0.07752268146701545,8.354962156198233,0.0035685874045815846,0.0,8.347967724885253,8.361956587511214
mean_reverting,0.7,6,60,0.07752268146701545,5.996286511095075,0.0032903339662613087,0.0,5.989837456521203,6.002735565668948
mean_reverting,0.8,1,60,0.08859735024801955,9.13178574287971,0.004431831625023019,0.0,9.123099352894666,9.140472132864755
mean_reverting,0.8,3,60,0.08859735024801955,12.506094625568098,0.005436026643530057,0.0,12.495440013346778,12.516749237789417
mean_reverting,0.8,6,60,0.08859735024801955,10.303024236455537,0.00598577834906515,0.0,10.29129211089137,10.314756362019704
mean_reverting,0.9,1,60,0.0996720190290258,11.320281809720921,0.00524129122156196,0.0,11.31000887892666,11.330554740515183
mean_reverting,0.9,3,60,0.0996720190290258,16.794326685274804,0.00769747830450587,0.0,16.779239627797974,16.809413742751634
mean_reverting,0.9,6,60,0.0996720190290258,15.092595287782927,0.09737964221567941,0.0,14.901731189040197,15.283459386525658
mean_reverting,1.0,1,60,0.11074668781002778,13.133706165126936,0.006057761249989749,0.0,13.121832953076956,13.145579377176917
mean_reverting,1.0,3,60,0.11074668781002778,20.663267935079165,0.010014506504218786,0.0,20.643639502330895,20.682896367827436
mean_reverting,1.0,6,60,0.11074668781002778,5.353503930146629,0.0037553522493353948,0.0,5.346143439737932,5.360864420555326
