regime,movement_control,horizon,method,n_replications,average_step_movement,average_step_movement_se,percent_change_mean,percent_change_se,test_w2_mean,test_w2_se,loss_ratio_mean,loss_ratio_se,repair_rate,percent_change_ci_low,percent_change_ci_high,test_w2_ci_low,test_w2_ci_high,loss_ratio_ci_low,loss_ratio_ci_high
persistent,0.0,1,persistence,60,0.22090126523124637,4.089050302808613e-06,20.23293509591785,0.13301352758123042,0.049810746036095026,8.262132567936075e-06,1.0,0.0,0.0,19.972228581858637,20.49364160997706,0.04979455225626187,0.04982693981592818,1.0,1.0
persistent,0.0,1,euclidean,60,0.22090126523124637,4.089050302808613e-06,230.77793747159654,0.3581699031953723,0.13703672187326987,2.7504465130859656e-05,2.7511494228675675,0.0005026560446591377,0.0,230.0759244613336,231.47995048185948,0.1369828131216134,0.13709063062492635,2.7501642170200356,2.7521346287150994
persistent,0.0,1,cholesky,60,0.22090126523124637,4.089050302808613e-06,203.61330628562797,0.33823968359997264,0.1257824853666763,2.0782900966587057e-05,2.5252091855023884,0.0003401135266493462,0.0,202.95035650577202,204.27625606548392,0.1257417508807818,0.1258232198525708,2.5245425629901557,2.525875808014621
persistent,0.0,1,log_euclidean,60,0.22090126523124637,4.089050302808613e-06,251.10758737288526,0.39628856772960314,0.14545863961056912,3.399107119154844e-05,2.9202275004907046,0.0006097750339984595,0.0,250.33086178013525,251.88431296563527,0.1453920171110337,0.14552526211010455,2.9190323414240678,2.9214226595573414
persistent,0.0,1,fixed,60,0.22090126523124637,4.089050302808613e-06,0.0,0.0,0.041431778666818624,5.0003689920532754e-05,0.8317789987226494,0.0009213861149918635,0.0,0.0,0.0,0.04133377143457438,0.041529785899062865,0.8299730819372654,0.8335849155080334
persistent,0.0,1,local,60,0.22090126523124637,4.089050302808613e-06,1.034182920458901,0.0053552791154662166,0.041860267368858804,5.0681453118345855e-05,0.8403811808608146,0.0009329092184187468,0.0,1.0236865733925873,1.0446792675252148,0.041760931720746845,0.04195960301697076,0.8385526787927139,0.8422096829289153
persistent,0.0,3,persistence,60,0.22090126523124637,4.089050302808613e-06,18.293659135652145,0.06807508597493112,0.4293307489491892,2.798846069633139e-05,1.0,0.0,0.0,18.160231967141282,18.42708630416301,0.4292758915662244,0.429385606332154,1.0,1.0
persistent,0.0,3,euclidean,60,0.22090126523124637,4.089050302808613e-06,96.06211378982293,0.11459316040190201,0.7115805882722818,5.303105113706806e-05,1.657418312317748,0.0001051417639871878,0.0,95.8375111954352,96.28671638421066,0.7114766474120531,0.7116845291325105,1.657212234460333,1.6576243901751628
persistent,0.0,3,cholesky,60,0.22090126523124637,4.089050302808613e-06,159.58640131523435,0.1582276705124493,0.9421332235956832,0.00017185479248818064,2.1944228880637793,0.0003734744408487228,0.0,159.27627508102995,159.89652754943876,0.9417963882024064,0.94247005898896,2.1936908781597158,2.195154897967843
persistent,0.0,3,log_euclidean,60,0.22090126523124637,4.089050302808613e-06,185.71978394145157,0.16824622642511164,1.0369806076555246,6.278653310706956e-05,2.4153422846107526,0.0001284418670444908,0.0,185.39002133765834,186.0495465452448,1.0368575460506346,1.0371036692604145,2.4150905385513455,2.4155940306701598
persistent,0.0,3,fixed,60,0.22090126523124637,4.089050302808613e-06,0.0,0.0,0.36294390739015847,0.0002220354422630137,0.8453703806645816,0.0004869220470876567,0.0,0.0,0.0,0.36250871792332295,0.363379096856994,0.8444160134522898,0.8463247478768734
persistent,0.0,3,local,60,0.22090126523124637,4.089050302808613e-06,1.0086941619963834,0.003036122576430296,0.3666049717968744,0.0002264783789153542,0.8538977313923591,0.000496847449959003,0.0,1.00274336174658,1.0146449622461868,0.3661610741742003,0.3670488694195485,0.8529239103904395,0.8548715523942788
persistent,0.0,6,persistence,60,0.22090126523124637,4.089050302808613e-06,22.607714827760894,0.05161601227960423,1.5437106129874316,8.355994641034445e-05,1.0,0.0,0.0,22.50654744369287,22.708882211828918,1.5435468354924673,1.543874390482396,1.0,1.0
persistent,0.0,6,euclidean,60,0.22090126523124637,4.089050302808613e-06,20.69319895425333,0.051550620457370175,1.519605364419683,7.584549816181093e-05,0.9843849537688263,5.0144712977363455e-05,0.0,20.592159738156884,20.794238170349775,1.5194567072432859,1.51975402159608,0.9842866701313907,0.9844832374062619
persistent,0.0,6,cholesky,60,0.22090126523124637,4.089050302808613e-06,92.9276996938756,0.08197088934980065,2.4290845205301426,0.00011371892827813296,1.573536243665949,2.988502771370957e-05,0.0,92.76703675074998,93.08836263700121,2.4288616314307174,2.4293074096295677,1.57347766901163,1.573594818320268
persistent,0.0,6,log_euclidean,60,0.22090126523124637,4.089050302808613e-06,65.68474401214455,0.06966463212466167,2.086078349273389,0.00010819794457672936,1.3513403639458523,5.380257807651753e-05,0.0,65.54820133318022,65.82128669110888,2.085866281302019,2.086290417244759,1.3512349108928223,1.3514458169988823
persistent,0.0,6,fixed,60,0.22090126523124637,4.089050302808613e-06,0.0,0.0,1.2590784470867578,0.0005522959333565719,0.8156178976231542,0.0003436752785737028,0.0,0.0,0.0,1.257995947057379,1.2601609471161366,0.8149442940771497,0.8162915011691586
persistent,0.0,6,local,60,0.22090126523124637,4.089050302808613e-06,0.8698648041685463,0.002736521625748346,1.270030943784896,0.0005664358427249341,0.822712800458747,0.0003525432170388373,0.0,0.8645012217820796,0.875228386555013,1.268920729533155,1.271141158036637,0.8220218157533509,0.823403785164143
persistent,0.75,1,persistence,60,0.23180922979474697,4.264487050579841e-06,0.5816827945050699,0.07928685216240701,0.05826158998439604,8.499724616323825e-06,1.0,0.0,0.0,0.42628056426675215,0.7370850247433876,0.058244930524148045,0.058278249444644034,1.0,1.0
persistent,0.75,1,euclidean,60,0.23180922979474697,4.264487050579841e-06,267.6666237825414,0.3034351192103708,0.2129691804209199,2.3511802851783717e-05,3.6553988347029995,0.000485043500333371,0.0,267.0718909488891,268.2613566161937,0.2129230972873304,0.2130152635545094,3.654448149442346,3.656349519963653
persistent,0.75,1,cholesky,60,0.23180922979474697,4.264487050579841e-06,227.4763687140896,0.26689822093651605,0.18968928163009155,2.4375261767554552e-05,3.25582271645404,0.00043499838248040604,0.0,226.95324820105404,227.99948922712517,0.18964150611702715,0.18973705714315595,3.254970119624378,3.2566753132837016
persistent,0.75,1,log_euclidean,60,0.23180922979474697,4.264487050579841e-06,114.80302052294441,0.16871475899630964,0.12442400712928373,2.6415589283352807e-05,2.1356105148810953,0.00042356969873697014,0.0,114.47233959531164,115.13370145057718,0.12437223257428835,0.1244757816842791,2.134780318271571,2.1364407114906196
persistent,0.75,1,fixed,60,0.23180922979474697,4.264487050579841e-06,0.0,0.0,0.05792699067346643,5.078112758519702e-05,0.9942532908026724,0.0007843726387319528,0.0,0.0,0.0,0.057827459663399444,0.05802652168353342,0.9927159204307578,0.995790661174587
persistent,0.75,1,local,60,0.23180922979474697,4.264487050579841e-06,-3.651454211023498,0.016506266777645412,0.055812131085259176,5.556096621554043e-05,0.9579534242691233,0.0008689993078226803,0.0,-3.683806493907683,-3.619101928139313,0.055703231591476714,0.05592103057904164,0.9562501856257909,0.9596566629124558
persistent,0.75,3,persistence,60,0.23180922979474697,4.264487050579841e-06,5.537686503187857,0.052185306563834175,0.5044604070701424,2.953184063804127e-05,1.0,0.0,0.0,5.435403302322742,5.639969704052971,0.5044025246624918,0.504518289477793,1.0,1.0
persistent,0.75,3,euclidean,60,0.23180922979474697,4.264487050579841e-06,83.61063431835247,0.09202857966505722,0.8776418284923732,7.637168581168058e-05,1.7397635242371952,0.00010508595397452076,0.0,83.43025830220896,83.79101033449598,0.8774921399881822,0.8777915169965641,1.739557555767405,1.7399694927069853
persistent,0.75,3,cholesky,60,0.23180922979474697,4.264487050579841e-06,170.86221740072733,0.13735690586519603,1.2946958833729418,6.000378871925762e-05,2.5664967452588123,0.00010226479077777407,0.0,170.59299786523155,171.1314369362231,1.294578275947052,1.2948134907988316,2.566296306268888,2.5666971842487367
persistent,0.75,3,log_euclidean,60,0.23180922979474697,4.264487050579841e-06,61.97087787988389,0.0815899564856403,0.7742060043730871,0.00010706796451218569,1.5347210480445328,0.00019234604542471526,0.0,61.810961565172036,62.13079419459575,0.7739961511626432,0.7744158575835309,1.5343440497955003,1.5350980462935653
persistent,0.75,3,fixed,60,0.23180922979474697,4.264487050579841e-06,0.0,0.0,0.47799804861016965,0.00025052336906755023,0.9475424967335832,0.00046866486599614967,0.0,0.0,0.0,0.47750702280679724,0.47848907441354205,0.9466239135962307,0.9484610798709356
persistent,0.75,3,local,60,0.23180922979474697,4.264487050579841e-06,-2.7776219831768514,0.006901098411723736,0.4647216118735561,0.00026259794570085394,0.9212243395271708,0.0004928180580745528,0.0,-2.7911481360638297,-2.764095830289873,0.4642069198999824,0.4652363038471298,0.9202584161333446,0.9221902629209969
persistent,0.75,6,persistence,60,0.23180922979474697,4.264487050579841e-06,12.52288413825928,0.04357194182389734,1.8256486586570673,8.900177917136134e-05,1.0,0.0,0.0,12.437483132284441,12.60828514423412,1.8254742151698915,1.825823102144243,1.0,1.0
persistent,0.75,6,euclidean,60,0.23180922979474697,4.264487050579841e-06,19.586541828650066,0.04657466016361252,1.940254304278639,0.00012589741382930563,1.0627753101396513,4.8679659903544006e-05,0.0,19.495255494729385,19.677828162570748,1.9400075453475336,1.9405010632097446,1.0626798980062404,1.0628707222730622
persistent,0.75,6,cholesky,60,0.23180922979474697,4.264487050579841e-06,78.73865111581645,0.06940526443000612,2.89997870928044,0.00013400715508537394,1.588464874163386,3.300180210545119e-05,0.0,78.60261679753364,78.87468543409926,2.899716055256473,2.9002413633044073,1.5884001906312593,1.5885295576955127
persistent,0.75,6,log_euclidean,60,0.23180922979474697,4.264487050579841e-06,12.988428875678911,0.04977369046466814,1.8332014244002897,0.0003492304313924259,1.0041370729809365,0.0001887055129663191,0.0,12.890872442368162,13.085985308989661,1.8325169327547606,1.8338859160458187,1.0037672101755224,1.0045069357863505
persistent,0.75,6,fixed,60,0.23180922979474697,4.264487050579841e-06,0.0,0.0,1.6224835008970961,0.0006492518995298047,0.8887159792902679,0.00034432692810646624,0.0,0.0,0.0,1.6212109671740178,1.6237560346201745,0.8880410985111792,0.8893908600693566
persistent,0.75,6,local,60,0.23180922979474697,4.264487050579841e-06,-4.5061214513031285,0.004755961717583184,1.5493733018472944,0.0006606658191361319,0.8486698135245032,0.0003507332879104565,0.0,-4.5154431362695915,-4.4967997663366654,1.5480783968417875,1.5506682068528013,0.8479823762801987,0.8493572507688077
persistent,1.5,1,persistence,60,0.25089439971658717,5.818848504496205e-06,-3.34644429992568,0.06404393171074724,0.07503838828624355,9.879495536951772e-06,1.0,0.0,0.0,-3.4719704060787446,-3.220918193772615,0.07501902447499113,0.07505775209749597,1.0,1.0
persistent,1.5,1,euclidean,60,0.25089439971658717,5.818848504496205e-06,280.25742295584547,0.26356576990203245,0.29521800239832274,3.936055418818849e-05,3.9342282239098867,0.0005104549377719477,0.0,279.7408340468375,280.77401186485343,0.2951408557121139,0.2952951490845316,3.933227732231854,3.9352287155879195
persistent,1.5,1,cholesky,60,0.25089439971658717,5.818848504496205e-06,283.5894465890481,0.2575247345831828,0.2978051289720071,4.005426228330002e-05,3.9687056332048645,0.000522003964584821,0.0,283.0846981092651,284.09419506883114,0.29772662261793187,0.29788363532608236,3.9676825054342784,3.9697287609754506
persistent,1.5,1,log_euclidean,60,0.25089439971658717,5.818848504496205e-06,76.14643410452973,0.11294687914729441,0.13675410177919595,3.22151708604279e-05,1.8224557162782697,0.0003974959320146136,0.0,75.92505822140103,76.36780998765843,0.1366909600443095,0.1368172435140824,1.821676624251521,1.8232348083050185
persistent,1.5,1,fixed,60,0.25089439971658717,5.818848504496205e-06,0.0,0.0,0.07763863905343066,5.676649834790661e-05,1.034649900191399,0.0006859226400243532,0.0,0.0,0.0,0.07752737671666876,0.07774990139019256,1.033305491816951,1.0359943085658467
persistent,1.5,1,local,60,0.25089439971658717,5.818848504496205e-06,-17.604868140734496,0.03122759611401526,0.06397124327774178,6.690630856208341e-05,0.8525107821693575,0.0008379919861499265,0.0,-17.666074229117967,-17.543662052351024,0.0638401069129601,0.06410237964252347,0.8508683178765036,0.8541532464622114
persistent,1.5,3,persistence,60,0.25089439971658717,5.818848504496205e-06,4.712613475004681,0.04693465267305751,0.6507689012359824,3.811096309992344e-05,1.0,0.0,0.0,4.620621555765489,4.804605394243874,0.6506942037483066,0.6508435987236583,1.0,1.0
persistent,1.5,3,euclidean,60,0.25089439971658717,5.818848504496205e-06,104.26353270403271,0.09456189357550512,1.2694590990104122,0.000194006708336178,1.9507064613247491,0.00027565561572027785,1.0,104.07819139262472,104.44887401544071,1.2690788458620732,1.2698393521587512,1.9501661763179374,1.9512467463315608
persistent,1.5,3,cholesky,60,0.25089439971658717,5.818848504496205e-06,169.32488640862405,0.126084486129493,1.6738023206332597,0.0001906862861782798,2.5720382164614404,0.0002916510082597999,0.0,169.07776081581025,169.57201200143786,1.6734285755123504,1.674176065754169,2.571466580485251,2.5726098524376297
